PerSqFeet,Area,lat,lon,NAME_ENG,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_eng,SDU_IND,Predicted_SDU,Probability_Non_SDU,Probability_SDU,,
PerSqFeet,Area,lat,lon,NAME_ENG,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_eng,SDU_IND,Predicted_SDU,Probability_Non_SDU,Probability_SDU,,SDU
10256,780,22.31611,114.22327,HONG NING BUILDING,7/1/1963 0:00,0,8823.9,1293,10116.9,11,61,17100,0.6,0,1,1,0,0,841048,819678,Kwun Tong,***,0,0.06840259,0.9315974,,-1
14884,739,22.32924,114.16299,WAH TANG BUILDING,1/1/1968 0:00,0,2544.7,606.5,3151.2,14,57,17550,0.05,1,1,1,1,0,834838,821132,Sham Shui Po,**,0,0.41457188,0.5854281,,-1
12850,856,22.32924,114.16299,WAH TANG BUILDING,1/1/1968 0:00,0,2544.7,606.5,3151.2,14,57,17550,0.05,1,1,1,1,0,834838,821132,Sham Shui Po,**,0,0.41457188,0.5854281,,-1
12040,696,22.32924,114.16299,WAH TANG BUILDING,1/1/1968 0:00,0,2544.7,606.5,3151.2,14,57,17550,0.05,1,1,1,1,0,834838,821132,Sham Shui Po,**,0,0.41457188,0.5854281,,-1
12313,843,22.32924,114.16299,WAH TANG BUILDING,1/1/1968 0:00,0,2544.7,606.5,3151.2,14,57,17550,0.05,1,1,1,1,0,834838,821132,Sham Shui Po,**,0,0.41457188,0.5854281,,-1
8408,509,22.33045,114.16625,TUNG LO COURT BLOCK A,8/1/1960 0:00,0,19107.3,1696.8,20804.1,12,64,28430,0.3,0,1,0,1,0,835177,821256,Sham Shui Po,***,0,0.7584062,0.2415938,,-1
12676,781,22.33963,114.15527,WO HING BUILDING,6/1/1957 0:00,0,5632.5,643.1,6275.6,8,67,20000,0.5,0,1,0,1,0,834044,822285,Sham Shui Po,***,0,0.47426683,0.5257332,,-1
8633,417,22.32773,114.18713,YUE LUEN MANSION,1/1/1967 0:00,0,737,185.5,922.5,6,58,22230,0.5,0,1,0,1,0,837325,820967,Kowloon City,**,0,0.13784295,0.86215705,,-1
11017,570,22.3166,114.18734,LUCKY BUILDING,8/1/1964 0:00,0,13255.3,947.7,14203,19,60,25000,0.05,1,1,0,1,0,837348,819734,Kowloon City,**,0,0.8413194,0.15868062,,-1
10513,760,22.3166,114.18734,LUCKY BUILDING,8/1/1964 0:00,0,13255.3,947.7,14203,19,60,25000,0.05,1,1,0,1,0,837348,819734,Kowloon City,**,0,0.7958525,0.20414753,,-1
8853,436,22.33493,114.19483,YAN OI BUILDING,5/1/1964 0:00,0,11443.1,1590.1,13033.2,15,60,18800,0.9,1,1,0,1,0,838118,821761,Wong Tai Sin,**,0,0.10203993,0.89796007,,-1
8840,552,22.33493,114.19483,YAN OI BUILDING,5/1/1964 0:00,0,11443.1,1590.1,13033.2,15,60,18800,0.9,1,1,0,1,0,838118,821761,Wong Tai Sin,**,0,0.10203993,0.89796007,,-1
10000,450,22.31651,114.22608,HIP WO HOUSE,8/1/1966 0:00,0,10538.6,1612.1,12150.7,21,58,16330,0.7,1,1,0,1,0,841334,819730,Kwun Tong,***,0,0.15620333,0.8437967,,-1
9122,513,22.33008,114.16277,CHEONG LOK BUILDING,1/1/1965 0:00,0,6100,2260.4,8360.4,13,60,12460,0.05,1,1,1,1,0,834816,821225,Sham Shui Po,***,0,0.023994982,0.976005,,-1
9268,410,22.31484,114.22337,CAMBRIDGE BUILDING,9/1/1966 0:00,0,16345.8,1131.3,17477.1,22,58,15300,0.4,1,1,0,1,0,841058,819550,Kwun Tong,***,0,0.15620333,0.8437967,,-1
7920,625,22.33222,114.16268,SHEUNG FOOK BUILDING,6/1/1966 0:00,0,3376.5,748.4,4124.9,11,58,15620,0.05,1,1,0,0,0,834811,821461,Sham Shui Po,***,0,0.025613785,0.9743862,,-1
10442,429,22.3161,114.22591,YEN FU MANSION,6/1/1967 0:00,0,9146,996.5,10142.5,23,57,16330,0.5,1,1,0,1,0,841317,819687,Kwun Tong,**,0,0.51005214,0.48994786,,-1
9241,501,22.3161,114.22591,YEN FU MANSION,6/1/1967 0:00,0,9146,996.5,10142.5,23,57,16330,0.5,1,1,0,1,0,841317,819687,Kwun Tong,**,0,0.51005214,0.48994786,,-1
