OID_,PerSqFeet,Area,lat,lon,NAME_ENG,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_eng,SDU_IND
152,10513,760,22.3166,114.18734,LUCKY BUILDING,8/1/1964 0:00,0,13255.3,947.7,14203,19,60,25000,0.05,1,1,0,1,0,837348,819734,Kowloon City,**
153,10218,1008,22.31941,114.17524,WING YING MANSION,2/1/1964 0:00,0,16873.1,756,17629.1,19,61,35000,0.6,0,0,0,0,0,836102,820048,Kowloon City,*
155,12048,996,22.32587,114.17486,DUKE MANSION,7/1/1964 0:00,0,2453.8,0,2453.8,13,60,49900,0.6,1,0,0,1,0,836061,820760,Kowloon City,*
156,8176,636,22.33435,114.19492,CHOI HUNG BUILDING,7/1/1964 0:00,0,10104,2628.9,12732.9,7,60,30000,0.9,0,0,0,1,0,838121,821692,Wong Tai Sin,*
158,8853,436,22.33493,114.19483,YAN OI BUILDING,5/1/1964 0:00,0,11443.1,1590.1,13033.2,15,60,18800,0.9,1,1,0,1,0,838118,821761,Wong Tai Sin,**
163,8064,434,22.33493,114.19483,YAN OI BUILDING,5/1/1964 0:00,0,11443.1,1590.1,13033.2,15,60,18800,0.9,1,1,0,1,0,838118,821761,Wong Tai Sin,**
168,7356,435,22.33546,114.19464,YIN HING BUILDING,9/1/1964 0:00,0,12419.5,1676.5,14096,8,60,16500,0.8,1,2,0,1,0,838091,821842,Wong Tai Sin,***
169,8840,552,22.33493,114.19483,YAN OI BUILDING,5/1/1964 0:00,0,11443.1,1590.1,13033.2,15,60,18800,0.9,1,1,0,1,0,838118,821761,Wong Tai Sin,**
171,9586,605,22.3138,114.22765,HWA FUNG MANSION,2/1/1964 0:00,0,3895.1,0,3895.1,14,61,28500,0.6,1,0,0,0,0,841501,819421,Kwun Tong,*
175,12647,593,22.32481,114.18606,CARLTON MANSION,1/1/1965 0:00,0,4631,0,4631,12,60,62750,0.8,1,0,0,1,0,837215,820643,Kowloon City,*
177,8593,640,22.31504,114.22723,YUET WAH MANSION,4/1/1965 0:00,0,5425.7,452.1,5877.8,13,59,28500,0.7,1,0,0,1,0,841470,819565,Kwun Tong,*
178,12875,699,22.32481,114.18606,CARLTON MANSION,1/1/1965 0:00,0,4631,0,4631,12,60,62750,0.8,1,0,0,1,0,837215,820643,Kowloon City,*
179,9464,560,22.31504,114.22723,YUET WAH MANSION,4/1/1965 0:00,0,5425.7,452.1,5877.8,13,59,28500,0.7,1,0,0,1,0,841470,819565,Kwun Tong,*
181,9425,435,22.31391,114.22654,KIU YIP MANSION (G-M),6/1/1965 0:00,0,7009.9,543.3,7553.2,12,59,29650,0.3,1,0,0,0,0,841385,819438,Kwun Tong,*
182,9230,650,22.31456,114.2275,ON LOK GARDEN MANSION,3/1/1965 0:00,0,4213.9,351.2,4565.1,13,60,28500,0.7,1,0,0,1,0,841483,819509,Kwun Tong,*
183,8695,1150,22.3159,114.22714,CHIU KWAN BUILDING,1/1/1965 0:00,0,7642.1,0,7642.1,13,60,28500,0.6,1,0,0,1,0,841440,819655,Kwun Tong,*
184,11756,723,22.32481,114.18606,CARLTON MANSION,1/1/1965 0:00,0,4631,0,4631,12,60,62750,0.8,1,0,0,1,0,837215,820643,Kowloon City,*
185,11612,713,22.31938,114.17785,TAK WAI MANSION PHASE II,6/1/1966 0:00,0,5036.4,592.5,5628.9,18,58,52500,1,1,0,0,0,0,836369,820041,Kowloon City,*
186,12242,727,22.31938,114.17785,TAK WAI MANSION PHASE II,6/1/1966 0:00,0,5036.4,592.5,5628.9,18,58,52500,1,1,0,0,0,0,836369,820041,Kowloon City,*
190,8777,450,22.31391,114.22654,KIU YIP MANSION (G-M),6/1/1965 0:00,0,7009.9,543.3,7553.2,12,59,29650,0.3,1,0,0,0,0,841385,819438,Kwun Tong,*
192,12902,727,22.31938,114.17785,TAK WAI MANSION PHASE II,6/1/1966 0:00,0,5036.4,592.5,5628.9,18,58,52500,1,1,0,0,0,0,836369,820041,Kowloon City,*
193,12973,713,22.31938,114.17785,TAK WAI MANSION PHASE II,6/1/1966 0:00,0,5036.4,592.5,5628.9,18,58,52500,1,1,0,0,0,0,836369,820041,Kowloon City,*
195,14855,727,22.31938,114.17785,TAK WAI MANSION PHASE II,6/1/1966 0:00,0,5036.4,592.5,5628.9,18,58,52500,1,1,0,0,0,0,836369,820041,Kowloon City,*
196,12792,727,22.31938,114.17785,TAK WAI MANSION PHASE II,6/1/1966 0:00,0,5036.4,592.5,5628.9,18,58,52500,1,1,0,0,0,0,836369,820041,Kowloon City,*
197,11224,490,22.31735,114.2163,Dor Hei Building - Podium,11/1/1972 0:00,0,1500.8,1942.8,3443.6,1,52,21250,0.4,1,0,0,1,0,840326,819820,Kwun Tong,*
200,15130,727,22.31938,114.17785,TAK WAI MANSION PHASE II,6/1/1966 0:00,0,5036.4,592.5,5628.9,18,58,52500,1,1,0,0,0,0,836369,820041,Kowloon City,*
203,13816,579,22.31706,114.17464,LUNG CHEUNG BUILDING,1/1/1965 0:00,0,4886,270.3,5156.3,17,60,45250,0.5,1,0,0,1,0,836039,819782,Kowloon City,*
204,7653,601,22.33115,114.16138,LAN FONG BUILDING,5/1/1965 0:00,0,3715.3,688.6,4403.9,12,59,14690,0.05,0,0,0,1,0,0,0,Sham Shui Po, 
206,7939,529,22.33115,114.16138,LAN FONG BUILDING,5/1/1965 0:00,0,3715.3,688.6,4403.9,12,59,14690,0.05,0,0,0,1,0,0,0,Sham Shui Po, 
209,11468,715,22.31706,114.17464,LUNG CHEUNG BUILDING,1/1/1965 0:00,0,4886,270.3,5156.3,17,60,45250,0.5,1,0,0,1,0,836039,819782,Kowloon City,*
213,8039,510,22.31333,114.22763,TIN HEUNG GARDEN HOUSE,10/1/1964 0:00,0,4092,0,4092,14,60,27550,0.5,1,0,0,1,0,841497,819372,Kwun Tong,*
214,9662,652,22.31456,114.2275,ON LOK GARDEN MANSION,3/1/1965 0:00,0,4213.9,351.2,4565.1,13,60,28500,0.7,1,0,0,1,0,841483,819509,Kwun Tong,*
216,9672,610,22.31504,114.22723,YUET WAH MANSION,4/1/1965 0:00,0,5425.7,452.1,5877.8,13,59,28500,0.7,1,0,0,1,0,841470,819565,Kwun Tong,*
228,8680,447,22.32091,114.18976,LUCKY HOUSE,7/1/1965 0:00,0,5274,591.9,5865.9,12,59,24500,0.4,1,0,0,1,0,837593,820213,Kowloon City,*
229,16129,713,22.31938,114.17785,TAK WAI MANSION PHASE II,6/1/1966 0:00,0,5036.4,592.5,5628.9,18,58,52500,1,1,0,0,0,0,836369,820041,Kowloon City,*
235,8135,590,22.33022,114.15993,HING LUNG BUILDING,2/1/1965 0:00,0,3486,310.2,3796.2,13,60,15000,0.2,1,2,1,1,0,834526,821244,Sham Shui Po,***
237,14603,808,22.32834,114.18518,MAYFAIR GARDEN,9/1/1964 0:00,0,2225.1,0,2225.1,7,60,55000,0.6,1,0,0,1,0,837124,821034,Kowloon City,*
240,7500,400,22.31535,114.22482,NAM ON MANSION,4/1/1965 0:00,0,2943.3,1458.2,4401.5,8,59,15300,0.5,0,2,0,1,0,841208,819597,Kwun Tong,***
241,11888,715,22.31706,114.17464,LUNG CHEUNG BUILDING,1/1/1965 0:00,0,4886,270.3,5156.3,17,60,45250,0.5,1,0,0,1,0,836039,819782,Kowloon City,*
242,13291,790,22.31983,114.17678,MAN KEE MANSION BLOCK A-D,5/1/1966 0:00,0,13400.3,12040.4,25440.7,26,58,52210,0.8,0,0,0,1,0,836258,820093,Kowloon City,*
244,12118,741,22.3197,114.17809,KINGSLAND VILLA BLOCK A,5/1/1966 0:00,0,10522.9,1238,11760.9,18,58,52210,1,1,0,0,0,0,836392,820076,Kowloon City,*
245,12164,970,22.32008,114.17808,KIU WANG MANSION BLOCK 1,9/1/1966 0:00,0,10442.3,1025.4,11467.7,18,58,52210,0.9,1,0,0,1,0,836393,820123,Kowloon City,*
247,11270,488,22.31431,114.22812,YUET MING BUILDING (BLOCK 1),11/1/1974 0:00,0,7031.4,0,7031.4,13,50,27550,0.6,1,0,0,1,0,841548,819482,Kwun Tong,*
248,8975,410,22.31484,114.22337,CAMBRIDGE BUILDING,9/1/1966 0:00,0,16345.8,1131.3,17477.1,22,58,15300,0.4,1,2,0,1,0,841058,819550,Kwun Tong,***
256,12135,651,22.31923,114.17737,WATERLOO HEIGHTS GARDEN,12/1/1965 0:00,0,5058.8,2745.8,7804.6,21,59,52500,1,1,0,0,1,0,836318,820024,Kowloon City,*
259,11166,840,22.32008,114.17808,KIU WANG MANSION BLOCK 1,9/1/1966 0:00,0,10442.3,1025.4,11467.7,18,58,52210,0.9,1,0,0,1,0,836393,820123,Kowloon City,*
261,12039,706,22.32749,114.16681,CHEUNG HONG MANSION,8/1/1981 0:00,84,2436.3,652.1,3088.4,15,43,18250,0.3,1,0,0,1,0,835232,820940,Sham Shui Po,*
263,10000,680,22.31276,114.22854,MAN WO GARDEN MANSION,5/1/1968 0:00,0,17647.5,1486.4,19133.9,12,56,27550,0.5,1,0,0,1,0,841586,819324,Kwun Tong,*
266,11994,667,22.31902,114.17756,EDWARD COURT,12/1/1965 0:00,0,5219.1,2025.2,7244.3,21,59,52500,1,1,0,0,1,0,836343,820005,Kowloon City,*
267,11394,667,22.31902,114.17756,EDWARD COURT,12/1/1965 0:00,0,5219.1,2025.2,7244.3,21,59,52500,1,1,0,0,1,0,836343,820005,Kowloon City,*
276,15478,606,22.319,114.17828,CARRIE COURT,1/1/1966 0:00,0,4726.8,2088.6,6815.4,19,59,52500,1.5,1,0,0,1,0,836413,819999,Kowloon City,*
278,9873,790,22.31983,114.17678,MAN KEE MANSION BLOCK A-D,5/1/1966 0:00,0,13400.3,12040.4,25440.7,26,58,52210,0.8,0,0,0,1,0,836258,820093,Kowloon City,*
279,15652,690,22.32749,114.16681,CHEUNG HONG MANSION,8/1/1981 0:00,84,2436.3,652.1,3088.4,15,43,18250,0.3,1,0,0,1,0,835232,820940,Sham Shui Po,*
280,11392,790,22.31983,114.17678,MAN KEE MANSION BLOCK A-D,5/1/1966 0:00,0,13400.3,12040.4,25440.7,26,58,52210,0.8,0,0,0,1,0,836258,820093,Kowloon City,*
284,10590,745,22.31694,114.17449,GAY MANSION,4/1/1966 0:00,0,2066.8,532.9,2599.7,13,58,45250,0.5,1,0,0,1,0,836023,819770,Kowloon City,*
285,12506,790,22.31983,114.17678,MAN KEE MANSION BLOCK A-D,5/1/1966 0:00,0,13400.3,12040.4,25440.7,26,58,52210,0.8,0,0,0,1,0,836258,820093,Kowloon City,*
286,15511,606,22.319,114.17828,CARRIE COURT,1/1/1966 0:00,0,4726.8,2088.6,6815.4,19,59,52500,1.5,1,0,0,1,0,836413,819999,Kowloon City,*
288,10000,450,22.31651,114.22608,HIP WO HOUSE,8/1/1966 0:00,0,10538.6,1612.1,12150.7,21,58,16330,0.7,1,2,0,1,0,841334,819730,Kwun Tong,***
290,15594,513,22.33299,114.17444,PARC OASIS TOWER 7,10/1/1992 0:00,0,62732.6,0,62732.6,12,32,69160,0.5,1,0,0,0,1,836015,821548,Sham Shui Po,*
293,10098,713,22.31139,114.22407,UNION BUILDING,8/1/1980 0:00,0,0,9243.5,9243.5,13,44,15000,0.6,1,0,0,0,0,0,0,Kwun Tong, 
294,13495,741,22.3197,114.17809,KINGSLAND VILLA BLOCK A,5/1/1966 0:00,0,10522.9,1238,11760.9,18,58,52210,1,1,0,0,0,0,836392,820076,Kowloon City,*
296,12060,529,22.31431,114.22812,YUET MING BUILDING (BLOCK 1),11/1/1974 0:00,0,7031.4,0,7031.4,13,50,27550,0.6,1,0,0,1,0,841548,819482,Kwun Tong,*
300,14521,606,22.319,114.17828,CARRIE COURT,1/1/1966 0:00,0,4726.8,2088.6,6815.4,19,59,52500,1.5,1,0,0,1,0,836413,819999,Kowloon City,*
303,14388,556,22.33299,114.17444,PARC OASIS TOWER 7,10/1/1992 0:00,0,62732.6,0,62732.6,12,32,69160,0.5,1,0,0,0,1,836015,821548,Sham Shui Po,*
305,13225,741,22.3197,114.17809,KINGSLAND VILLA BLOCK A,5/1/1966 0:00,0,10522.9,1238,11760.9,18,58,52210,1,1,0,0,0,0,836392,820076,Kowloon City,*
306,15748,635,22.31923,114.17737,WATERLOO HEIGHTS GARDEN,12/1/1965 0:00,0,5058.8,2745.8,7804.6,21,59,52500,1,1,0,0,1,0,836318,820024,Kowloon City,*
308,9627,860,22.31055,114.18454,MARIGOLD MANSION BLOCK A,5/1/1966 0:00,0,10456.8,0,10456.8,20,58,28830,0.05,1,0,0,1,0,837059,819065,Kowloon City,*
311,9054,550,22.31276,114.22854,MAN WO GARDEN MANSION,5/1/1968 0:00,0,17647.5,1486.4,19133.9,12,56,27550,0.5,1,0,0,1,0,841586,819324,Kwun Tong,*
314,9988,839,22.31139,114.22407,UNION BUILDING,8/1/1980 0:00,0,0,9243.5,9243.5,13,44,15000,0.6,1,0,0,0,0,0,0,Kwun Tong, 
319,9615,780,22.31983,114.17678,MAN KEE MANSION BLOCK A-D,5/1/1966 0:00,0,13400.3,12040.4,25440.7,26,58,52210,0.8,0,0,0,1,0,836258,820093,Kowloon City,*
320,13722,583,22.31923,114.17737,WATERLOO HEIGHTS GARDEN,12/1/1965 0:00,0,5058.8,2745.8,7804.6,21,59,52500,1,1,0,0,1,0,836318,820024,Kowloon City,*
324,9122,513,22.33008,114.16277,CHEONG LOK BUILDING,1/1/1965 0:00,0,6100,2260.4,8360.4,13,60,12460,0.05,1,2,1,1,0,834816,821225,Sham Shui Po,***
327,10821,645,22.31431,114.22812,YUET MING BUILDING (BLOCK 1),11/1/1974 0:00,0,7031.4,0,7031.4,13,50,27550,0.6,1,0,0,1,0,841548,819482,Kwun Tong,*
330,9195,609,22.31276,114.22854,MAN WO GARDEN MANSION,5/1/1968 0:00,0,17647.5,1486.4,19133.9,12,56,27550,0.5,1,0,0,1,0,841586,819324,Kwun Tong,*
331,8970,680,22.31276,114.22854,MAN WO GARDEN MANSION,5/1/1968 0:00,0,17647.5,1486.4,19133.9,12,56,27550,0.5,1,0,0,1,0,841586,819324,Kwun Tong,*
335,9268,410,22.31484,114.22337,CAMBRIDGE BUILDING,9/1/1966 0:00,0,16345.8,1131.3,17477.1,22,58,15300,0.4,1,2,0,1,0,841058,819550,Kwun Tong,***
337,10914,667,22.31902,114.17756,EDWARD COURT,12/1/1965 0:00,0,5219.1,2025.2,7244.3,21,59,52500,1,1,0,0,1,0,836343,820005,Kowloon City,*
338,9079,804,22.31391,114.22782,WING NING MANSION,12/1/1965 0:00,0,3895.1,309.5,4204.6,13,59,28500,0.6,1,0,0,1,0,841517,819440,Kwun Tong,*
346,14261,596,22.33299,114.17444,PARC OASIS TOWER 7,10/1/1992 0:00,0,62732.6,0,62732.6,12,32,69160,0.5,1,0,0,0,1,836015,821548,Sham Shui Po,*
347,12371,970,22.32008,114.17808,KIU WANG MANSION BLOCK 1,9/1/1966 0:00,0,10442.3,1025.4,11467.7,18,58,52210,0.9,1,0,0,1,0,836393,820123,Kowloon City,*
348,16336,606,22.319,114.17828,CARRIE COURT,1/1/1966 0:00,0,4726.8,2088.6,6815.4,19,59,52500,1.5,1,0,0,1,0,836413,819999,Kowloon City,*
349,5985,401,22.33806,114.15712,FAT CHEUNG BUILDING,11/1/1965 0:00,0,1632.9,423,2055.9,9,59,19000,0.3,0,0,1,1,0,834235,822111,Sham Shui Po,*
356,12632,790,22.31983,114.17678,MAN KEE MANSION BLOCK A-D,5/1/1966 0:00,0,13400.3,12040.4,25440.7,26,58,52210,0.8,0,0,0,1,0,836258,820093,Kowloon City,*
363,8658,462,22.33337,114.16062,SHEUNG WING BUILDING,6/1/1966 0:00,0,3855.3,866.3,4721.6,11,58,18560,0.3,1,1,0,1,0,834594,821587,Sham Shui Po,**
364,7920,625,22.33222,114.16268,SHEUNG FOOK BUILDING,6/1/1966 0:00,0,3376.5,748.4,4124.9,11,58,15620,0.05,1,2,0,0,0,834811,821461,Sham Shui Po,***
372,14126,664,22.319,114.17828,CARRIE COURT,1/1/1966 0:00,0,4726.8,2088.6,6815.4,19,59,52500,1.5,1,0,0,1,0,836413,819999,Kowloon City,*
375,15590,635,22.31923,114.17737,WATERLOO HEIGHTS GARDEN,12/1/1965 0:00,0,5058.8,2745.8,7804.6,21,59,52500,1,1,0,0,1,0,836318,820024,Kowloon City,*
376,12742,926,22.3259,114.17605,ORIENTAL GARDENS BLOCK D,2/1/1967 0:00,0,20026.3,7213.3,27239.6,13,58,49900,0.8,1,0,0,1,0,836180,820754,Kowloon City,*
377,10442,429,22.3161,114.22591,YEN FU MANSION,6/1/1967 0:00,0,9146,996.5,10142.5,23,57,16330,0.5,1,1,0,1,0,841317,819687,Kwun Tong,**
379,17973,612,22.33036,114.17585,FA PO VILLA,12/1/1966 0:00,0,3283.6,1094.5,4378.1,4,58,60900,0.9,0,0,0,1,0,836162,821260,Sham Shui Po,*
380,8536,410,22.31706,114.22633,HOPEWELL HOUSE,6/1/1967 0:00,0,15087,2428.9,17515.9,21,57,20370,0.7,1,2,0,1,0,841359,819776,Kwun Tong,***
387,9156,415,22.31706,114.22633,HOPEWELL HOUSE,6/1/1967 0:00,0,15087,2428.9,17515.9,21,57,20370,0.7,1,2,0,1,0,841359,819776,Kwun Tong,***
388,9241,501,22.3161,114.22591,YEN FU MANSION,6/1/1967 0:00,0,9146,996.5,10142.5,23,57,16330,0.5,1,1,0,1,0,841317,819687,Kwun Tong,**
391,10905,917,22.3259,114.17605,ORIENTAL GARDENS BLOCK D,2/1/1967 0:00,0,20026.3,7213.3,27239.6,13,58,49900,0.8,1,0,0,1,0,836180,820754,Kowloon City,*
393,11195,1054,22.32569,114.17606,ORIENTAL GARDENS BLOCK C,2/1/1967 0:00,0,20026.3,7213.3,27239.6,13,58,49900,0.8,1,0,0,0,0,836185,820745,Kowloon City,*
394,14308,629,22.33036,114.17585,FA PO VILLA,12/1/1966 0:00,0,3283.6,1094.5,4378.1,4,58,60900,0.9,0,0,0,1,0,836162,821260,Sham Shui Po,*
395,12289,712,22.31864,114.1773,CRYSTAL COURT,7/1/1967 0:00,0,9360.6,936.1,10296.7,21,57,35000,1,1,0,0,1,0,836318,819969,Kowloon City,*
396,12640,712,22.31864,114.1773,CRYSTAL COURT,7/1/1967 0:00,0,9360.6,936.1,10296.7,21,57,35000,1,1,0,0,1,0,836318,819969,Kowloon City,*
405,12640,712,22.31864,114.1773,CRYSTAL COURT,7/1/1967 0:00,0,9360.6,936.1,10296.7,21,57,35000,1,1,0,0,1,0,836318,819969,Kowloon City,*
407,7392,579,22.3331,114.16251,LEUNG CHAU BUILDING,12/1/1966 0:00,0,4336.9,368.6,4705.5,12,58,17550,0.2,1,1,0,1,0,834787,821558,Sham Shui Po,**
411,14747,712,22.31864,114.1773,CRYSTAL COURT,7/1/1967 0:00,0,9360.6,936.1,10296.7,21,57,35000,1,1,0,0,1,0,836318,819969,Kowloon City,*
419,14044,712,22.31864,114.1773,CRYSTAL COURT,7/1/1967 0:00,0,9360.6,936.1,10296.7,21,57,35000,1,1,0,0,1,0,836318,819969,Kowloon City,*
420,11719,698,22.31864,114.1773,CRYSTAL COURT,7/1/1967 0:00,0,9360.6,936.1,10296.7,21,57,35000,1,1,0,0,1,0,836318,819969,Kowloon City,*
427,16011,687,22.33036,114.17585,FA PO VILLA,12/1/1966 0:00,0,3283.6,1094.5,4378.1,4,58,60900,0.9,0,0,0,1,0,836162,821260,Sham Shui Po,*
