OBJECTID,Join_Count,TARGET_FID,BUILDINGST,BUILDINGCS,OFFICIALBU,OFFICIAL00,NUMABOVEGR,NUMBASEMEN,TOPHEIGHT,BASEHEIGHT,GROSSFLOOR,Address_Chinese,Address_English,Date_of_Expiry,Date_of_Issue,Lift_No,Location_ID,GeometryLongitude,GeometryLatitude,ADDRES_OF_THE_BUILDING_IN_CHN,ADDRES_OF_THE_BUILDING_IN_ENG,CORPORATION_NUM,THE_INCORPORATED_OWNERS_OF_IN_CHN,THE_INCORPORATED_OWNERS_OF_IN_ENG,GeometryLongitude_1,GeometryLatitude_1,ADDRESS_E,SEARCH1_E,OP_YEAR,AGE,NSEARCH5_E,LATITUDE,LONGITUDE,lsbg_eng,ma_hh,FacilityID,Name,FromBreak,ToBreak,Shape_Leng_1,Shape_Area_12,LIFT,MANAGEMENT,INCOME,MTR_DISTANCE,Shape_Length,Shape_Area,SDU
263868,0,263868,138229,3506121254T20050430,Fuk Yee Building,福怡大廈,13,0,0,0,0,九龍 深水埗 福榮街 18號 至20號 福怡大廈,"FUK YEE BUILDING, 18-20 FUK WING STREET, SHAM SHUI PO, KOWLOON",45993,45618,1,0608351-001,114.1651583,22.33032669,九龍褔榮街18-20號,"18-20 Fuk Wing Street, Kowloon",3904,福怡大廈,FUK YEE BUILDING,114.16514,22.33031,18/20 FUK WING ST FUK YEE BUILDING,Sham Shui Po,1988,37,Residential/Composite,22.3303123,114.1651472,267/11,19180,0,0.15 - 0.2,0.15,0.2,3.237554002,0.000481307,1,1,19180,0.2,40.51829903,80.92408072,0
263885,0,263885,137138,3506221391T20050430,Uni Hall,尚學苑,0,0,0,0,0,九龍 深水埗 大埔道 180號 至182號,"180-182 TAI PO ROAD, SHAM SHUI PO, KOWLOON",45752,45379,1,0513432-001,114.165168,22.33156388,,,,,,,,180/182 TAI PO RD,Sham Shui Po,1966,59,Residential/Composite,22.33155767,114.1651786,266/39,22570,0,0.25 - 0.3,0.25,0.3,3.655410697,0.000566436,1,0,22570,0.3,68.22435228,284.209738,0
263934,0,263934,133860,3506521283T20050430, ,景業大廈,12,0,0,0,0,九龍 深水埗 元州街 5號 至11號 景業大廈,"KING YIP BUILDING, 5-11 UN CHAU STREET, SHAM SHUI PO, KOWLOON",45949,45581,1,0501107-001,114.1651972,22.33058858,"九龍元州街5, 7, 7A, 9, 9A 及 11號","5, 7, 7A, 9, 9A & 11 Un Chau Street, Kowloon",5256,景業大廈,KING YIP BUILDING,114.16519,22.33058,11 UN CHAU ST KING YIP BUILDING,Sham Shui Po,1963,62,Residential/Composite,22.3305928,114.1651967,267/11,19180,0,0.25 - 0.3,0.25,0.3,3.655410697,0.000566436,1,1,19180,0.3,103.5393633,389.3747761,0
263935,0,263935,123244,3506522585T20050430,Beacon Heights Phase 2 Block 19,畢架山花園第二期１９座,8,1,0,0,0,"九龍 九龍塘 龍坪道 畢架山花園, 19 座","BEACON HEIGHTS,  LUNG PING ROAD, KOWLOON TONG, KOWLOON, BLOCK 19",45925,45552,1,0108138-005,114.1651962,22.34234639,,,,,,,,19 LUNG PING RD BEACON HEIGHTS PHASE 2 BLK 19,Sham Shui Po,1986,39,Residential/Composite,22.34232438,114.1652062,263/20,75190,0,1.35 - 1.4,1.35,1.4,2.430513497,0.000363886,1,0,75190,1.4,171.0898631,551.0114439,0
263982,0,263982,349268,3506821084T20110927,Hong Fu House,康富樓,11,0,0,0,0,九龍 深水埗 長沙灣道 88號 至92號,"88-92 CHEUNG SHA WAN ROAD, SHAM SHUI PO, KOWLOON",45801,45408,1,0306401-001,114.1651876,22.32879149,九龍長沙灣道88-92號,"88-92 Cheung Sha Wan Road, Kowloon",2313,康富樓,HONG FU HOUSE,114.16522,22.32879,92 CHEUNG SHA WAN RD HONG FU HOUSE,Sham Shui Po,1982,43,Residential/Composite,22.32879081,114.1652111,267/21,17920,0,0.25 - 0.3,0.25,0.3,3.655410697,0.000566436,1,1,17920,0.3,57.04880461,130.1942894,0
264022,0,264022,141063,3507121817T20050430,The ELCHK Faith Lutheran School,基督教香港信義會深信學校,4,0,0,0,0,九龍 石硤尾 培德街 8號 基督教香港信義會深信學校,"THE ELCHK FAITH LUTHERAN SCHOOL, 8 PUI TAK STREET, SHEK KIP MEI, KOWLOON",45910,45516,1,1212989-001,114.165255,22.33541091,,,,,,,,8 PUI TAK ST FAITH LUTHERAN SCHOOL,Sham Shui Po,1963,62,Others,22.33537575,114.1652999,263/17,29070,0,0.5 - 0.55,0.5,0.55,3.497986879,0.000535478,1,0,29070,0.55,196.9803361,894.8009062,0
264036,0,264036,138316,3507221236T20050430,Fook On Building,福安大廈,10,0,0,0,0,九龍 深水埗 石硤尾街 35號 至37號 福安大廈,"FOOK ON BUILDING, 35-37 SHEK KIP MEI STREET, SHAM SHUI PO, KOWLOON",46061,45670,1,0701394-001,114.1652651,22.33016415,九龍石硤尾街35-37號及福榮街16A-D號,"35-37 Shek Kip Mei Street &16A-D Fuk Wing Street, Kowloon",208,福安樓,FOOK ON BUILDING,114.16526,22.33016,37 SHEK KIP MEI ST FOOK ON BUILDING,Sham Shui Po,1964,61,Residential/Composite,22.33017628,114.1652849,267/11,19180,0,0.25 - 0.3,0.25,0.3,3.655410697,0.000566436,1,1,19180,0.3,72.11827364,273.8330149,0
264077,0,264077,133578,3507421410T20050430, ,昌華新樓,11,0,0,0,0,九龍 深水埗 南昌街 203號 至211號 昌華新樓,"CHEONG WAH NEW BUILDING, 203-211 NAM CHEONG STREET, SHAM SHUI PO, KOWLOON",45764,45362,1,0202509-001,114.1652844,22.33173547,九龍南昌街203-211號,"203-211 Nam Cheong Street, Kowloon",4142,昌華新樓,CHEONG WAH NEW BUILDING,114.16528,22.33173,203/211 NAM CHEONG ST,Sham Shui Po,1971,54,Residential/Composite,22.331727,114.1652896,266/39,22570,0,0.25 - 0.3,0.25,0.3,3.655410697,0.000566436,1,1,22570,0.3,90.37408917,508.394833,0
264125,0,264125,134603,3507721274T20050430, ,大元樓,9,0,0,0,0,九龍 深水埗 元州街 1號 至3號 大元樓,"TAI YUEN BLDG, 1-3 UN CHAU STREET, SHAM SHUI PO, KOWLOON",46043,45635,1,0900923-001,114.1653136,22.33050731,"九龍深水埗元州街1,3及3A號","1, 3 & 3A Un Chau Street, Sham Shui Po, Kowloon",8334,大元樓,DAI UN BUILDING,114.16531,22.3305,3A UN CHAU ST,Sham Shui Po,1963,62,Residential/Composite,22.33050553,114.1653151,267/11,19180,0,0.25 - 0.3,0.25,0.3,3.655410697,0.000566436,1,1,19180,0.3,71.99030637,219.5720113,0
264207,0,264207,138241,3508221244T20050430,Yen Fat Building,仁發大廈,11,0,0,0,0,九龍 石硤尾 石硤尾街 39號 至41號 仁發大廈,"YEN FAT BUILDING, 39-41 SHEK KIP MEI STREET, SHEK KIP MEI, KOWLOON",45795,45415,1,1002511-001,114.1653622,22.3302364,九龍石硤尾街39-41號,"39-41 Shek Kip Mei Street, Kowloon",315,仁發大廈,YEN FAT BUILDING,114.16536,22.33023,41 SHEK KIP MEI ST YAN FAT BUILDING,Sham Shui Po,1969,56,Residential/Composite,22.33025559,114.1653555,267/11,19180,0,0.3 - 0.35,0.3,0.35,3.826992578,0.000578167,1,1,19180,0.35,77.26140462,232.2076395,0
264310,0,264310,349270,3508821151T20111007,Ming Wah Building,明華大廈,10,0,0,0,0,九龍 深水埗 福華街 32號 至38號 明華大廈,"MING WAH BUILDING, 32-38 FUK WA STREET, SHAM SHUI PO, KOWLOON",45956,45588,1,0203750-001,114.1654011,22.32938753,九龍褔華街32-38號,"32-38 Fuk Wa Street, Kowloon",1062,明華大廈,MING WAH BUILDING,114.16542,22.32939,32/38 FUK WA ST MING WAH BUILDING,Sham Shui Po,1977,48,Residential/Composite,22.32939074,114.1654074,267/22,16950,0,0.25 - 0.3,0.25,0.3,3.655410697,0.000566436,1,1,16950,0.3,64.27442805,171.4485538,0
264311,0,264311,132187,3508821182T20050430, , ,12,0,0,0,0,九龍 深水埗 福榮街 37號 至39號,"37-39 FUK WING STREET, SHAM SHUI PO, KOWLOON",45785,45390,1,0401692-001,114.1654205,22.32967651,九龍褔榮街 37 及 39 號,"37 & 39 Fuk Wing Street, Kowloon",793,九龍福榮街三十七及三十九號,"NOS. 37 AND 39 FUK WING STREET, KOWLOON",114.16542,22.32967,39 FUK WING ST,Sham Shui Po,1964,61,Residential/Composite,22.32968526,114.1654247,267/22,16950,0,0.25 - 0.3,0.25,0.3,3.655410697,0.000566436,1,1,16950,0.3,64.35983883,178.9401179,0
264365,0,264365,143089,3509121095T20050430,Sham Tsung Court,深崇閣,10,0,0,0,0,九龍 深水埗 黃竹街 17號 至19號 深祟閣,"SHAM TSUNG COURT, 17-19 WONG CHUK STREET, SHAM SHUI PO, KOWLOON",45905,45505,1,0107069-001,114.1654497,22.32889085,九龍褔華街55B號及黃竹街17-19號,"55B Fuk Wa Street &17-19 Wong Chuk Street, Kowloon",4095,深崇閣,SHAM TSUNG COURT,114.16541,22.32892,19 WONG CHUK ST SHAM TSUNG COURT,Sham Shui Po,1983,42,Residential/Composite,22.32892414,114.1654108,267/21,17920,0,0.25 - 0.3,0.25,0.3,3.655410697,0.000566436,1,1,17920,0.3,87.91100003,252.8502501,0
264379,0,264379,138072,3509220894T20050430, ,仁業樓,11,0,0,0,0,九龍 深水埗 汝州街 72號 至74號 仁業樓,"YAN YIP BUILDING, 72-74 YU CHAU STREET, SHAM SHUI PO, KOWLOON",45751,45358,1,0602329-001,114.1654595,22.3270757,九龍深水埗汝州街72-74號及楓樹街2G號,"72-74 Yu Chau Street &2G Maple Street, Sham Shui Po, Kowloon",7638,仁業樓,YAN YIP BUILDING,114.16545,22.32707,72/74 YU CHAU ST,Sham Shui Po,1967,58,Residential/Composite,22.32705615,114.1654486,267/28 and 267/32-33,17040,0,0.25 - 0.3,0.25,0.3,3.655410697,0.000566436,1,1,17040,0.3,58.22296746,172.3080516,0
264425,0,264425,140784,3509521342T20050430,Rondall Building,南都大廈,13,0,0,0,0,九龍 深水埗 大埔道 168號 明星海鮮酒家,"STAR SEAFOOD RESTAURANT, 168 TAI PO ROAD, SHAM SHUI PO, KOWLOON",46087,45671,4,1102672-001,114.1654883,22.3311214,,,,,,,,16 YIU TUNG ST RONDALL BUILDING,Sham Shui Po,1966,59,Residential/Composite,22.33116077,114.1655048,267/12-14,15240,0,0.25 - 0.3,0.25,0.3,3.655410697,0.000566436,1,0,15240,0.3,128.4401801,626.6017418,0
264457,0,264457,123175,3509722602T20050430,Beacon Heights Phase 2 Block 17,畢架山花園第二期１７座,8,1,0,0,0,"九龍 九龍塘 龍坪道 畢架山花園, 17 座","BEACON HEIGHTS,  LUNG PING ROAD, KOWLOON TONG, KOWLOON, BLOCK 17",45925,45538,1,0108138-003,114.1655068,22.34249993,,,,,,,,17 LUNG PING RD BEACON HEIGHTS PHASE 2 BLK 17,Sham Shui Po,1986,39,Residential/Composite,22.34251545,114.1655117,263/20,75190,0,1.4 - 1.45,1.4,1.45,2.336109731,0.000324409,1,0,75190,1.45,167.7768083,530.5569185,0
264485,0,264485,138147,3509920881T20050430,Hing Yip Building,興業大廈,16,0,0,0,0,九龍 深水埗 汝州街 66號 至70號 興業大廈,"HING YIP BUILDING , 66-70 YU CHAU STREET, SHAM SHUI PO, KOWLOON",45872,45476,1,1010190-001,114.1655275,22.32695831,九龍汝洲街68號,"68 Yu Chau Street, Kowloon",5984,興業大廈(汝洲街),HING YIP BUILDING (YU CHAU STREET),114.16552,22.32695,68 YU CHAU ST HING YIP BUILDING,Sham Shui Po,1992,33,Residential/Composite,22.32698075,114.165552,267/28 and 267/32-33,17040,0,0.25 - 0.3,0.25,0.3,3.655410697,0.000566436,1,1,17040,0.3,51.35922822,109.9971861,0
264486,0,264486,349274,3509921141T20110927,Lik Sang Court,力生居,11,0,0,0,0,九龍 深水埗 福華街 28號 至30號 力生居,"LIK SANG COURT, 28-30 FUK WA STREET, SHAM SHUI PO, KOWLOON",45798,45414,1,0910899-001,114.1655176,22.32927917,九龍褔華街28號,"28 Fuk Wa Street, Kowloon",4689,力生居,LIK SANG COURT,114.16552,22.3293,28 FUK WA ST LIK SANG COURT,Sham Shui Po,1997,28,Residential/Composite,22.32930609,114.1655153,267/22,16950,0,0.25 - 0.3,0.25,0.3,3.655410697,0.000566436,1,1,16950,0.3,42.4722202,77.20673704,0
264487,0,264487,417673,3509921429T20220113,Hong Kong Institute of Technology,香港科技專上書院,0,0,25.5,0,0,九龍 深水埗 巴域街 43號 香港聖公會聖多馬堂,"HONG KONG SHENG KUNG HUI ST. THOMAS CHURCH, 43 BERWICK STREET, SHAM SHUI PO, KOWLOON",45855,45457,L1,1110640-002,114.1654883,22.33186191,,,,,,,,ST. THOMAS SCHOOL & CHURCH 213 NAM CHEONG ST,Sham Shui Po,1965,60,Others,22.33197148,114.1653753,266/39,22570,0,0.25 - 0.3,0.25,0.3,3.655410697,0.000566436,1,0,22570,0.3,93.51357543,328.4763913,0
