OID_,PerSqFeet,Area,lat,lon,NAME_ENG,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_eng,SDU_IND
454,12364,516,22.31986,114.16898,WINNER MANSION,8/1/1968 0:00,0,4802.4,2389.5,7191.9,17,56,17850,0.05,1,0,1,0,0,0,0,Yau Tsim Mong, 
463,10097,515,22.31337,114.17083,WING KIU BUILDING,2/1/1969 0:00,0,2959.1,2173.5,5132.6,17,56,12490,0.05,1,0,0,1,0,835648,819370,Yau Tsim Mong,*
493,9177,523,22.31343,114.17031,BELL HOUSE,4/1/1970 0:00,0,19002.2,5547.8,24550,21,54,21840,0.05,1,1,1,1,0,835596,819384,Yau Tsim Mong,**
520,15217,460,22.2891,114.20014,MING YUEN MANSIONS PHASE 1 BLOCK A,12/1/1968 0:00,0,30140.3,0,30140.3,22,56,36000,0.2,1,0,0,0,0,838664,816694,Eastern,*
536,9825,631,22.30826,114.17108,HONOUR HOUSE,11/1/1969 0:00,0,7512.4,2348.1,9860.5,19,55,16400,0.3,1,2,0,1,0,835672,818818,Yau Tsim Mong,***
547,11260,460,22.2891,114.20014,MING YUEN MANSIONS PHASE 1 BLOCK A,12/1/1968 0:00,0,30140.3,0,30140.3,22,56,36000,0.2,1,0,0,0,0,838664,816694,Eastern,*
554,8571,406,22.32285,114.16014,CHUNG YEW BUILDING,1/1/1970 0:00,0,19084.1,1433.6,20517.7,15,55,16500,0.5,1,1,0,1,0,834553,820425,Yau Tsim Mong,**
562,5664,632,22.32309,114.16817,FOON LOK BUILDING,10/1/1979 0:00,15,634.1,304,938.1,6,45,17490,0.2,0,0,0,0,0,835370,820453,Yau Tsim Mong,*
564,10402,671,22.2824,114.19234,HUNG ON BUILDING,7/1/1971 0:00,0,7008.8,989.8,7998.6,21,53,46250,0.05,1,0,0,0,0,837850,815947,Eastern,*
573,12686,670,22.28637,114.19122,HOI SHING BUILDING,8/1/1971 0:00,0,4636.5,426.9,5063.4,20,53,32890,0.3,1,0,0,1,0,837749,816391,Eastern,*
581,8612,447,22.27749,114.22987,HO KING BUILDING,10/1/1979 0:00,60,2288.6,910.3,3198.9,22,45,32100,0.2,1,0,0,0,0,841728,815405,Eastern,*
582,12686,670,22.28637,114.19122,HOI SHING BUILDING,8/1/1971 0:00,0,4636.5,426.9,5063.4,20,53,32890,0.3,1,0,0,1,0,837749,816391,Eastern,*
584,8893,506,22.31354,114.16945,TAK YUE MANSION,1/1/1971 0:00,0,2106.5,1785.5,3892,13,54,21840,0.05,1,0,1,1,0,835505,819395,Yau Tsim Mong,*
590,12745,612,22.28917,114.19512,GOLDEN CASTLE MANSION,3/1/1972 0:00,0,7241,739.1,7980.1,23,53,31000,0.1,1,0,0,0,0,838142,816699,Eastern,*
602,12739,522,22.28856,114.19347,KING'S LODGE,3/1/1972 0:00,0,1988.6,180.3,2168.9,15,53,37500,0.05,1,1,0,1,0,837978,816633,Eastern,**
603,16164,704,22.26336,114.24712,BIK TSUI HOUSE,3/1/1990 0:00,0,19281,36,19317,34,35,24000,1.5,1,0,0,0,0,843510,813838,Eastern,*
627,14052,612,22.28917,114.19512,GOLDEN CASTLE MANSION,3/1/1972 0:00,0,7241,739.1,7980.1,23,53,31000,0.1,1,0,0,0,0,838142,816699,Eastern,*
640,13122,823,22.28444,114.21406,BO FUNG GARDEN BLOCK A,8/1/1972 0:00,0,24311.1,241.1,24552.2,28,52,23310,0.05,1,0,0,0,0,840098,816182,Eastern,*
641,15376,584,22.28917,114.19512,GOLDEN CASTLE MANSION,3/1/1972 0:00,0,7241,739.1,7980.1,23,53,31000,0.1,1,0,0,0,0,838142,816699,Eastern,*
643,12784,704,22.26336,114.24712,BIK TSUI HOUSE,3/1/1990 0:00,0,19281,36,19317,34,35,24000,1.5,1,0,0,0,0,843510,813838,Eastern,*
